title,release_year,rating,rank
"The Wolf of Wall Street",2013,8.1,149
"V for Vendetta",2005,8.1,150
"Warrior",2011,8.1,151
"Blade Runner",1982,8.1,152
"The General",1926,8.1,153
"Wild Strawberries",1957,8.1,154
"Dial M for Murder",1954,8.1,155
"Trainspotting",1996,8.1,156
"No Country for Old Men",2007,8.1,157
"There Will Be Blood",2007,8.1,158
"Gone with the Wind",1939,8.1,159
"The Sixth Sense",1999,8.1,160
"Fargo",1996,8.1,161
"The Thing",1982,8.1,162
"Gran Torino",2008,8.1,163
"The Deer Hunter",1978,8.1,164
"Finding Nemo",2003,8.1,165
"Sherlock Jr.",1924,8.1,166
"Come and See",1985,8.1,167
"The Big Lebowski",1998,8.1,168
"Kill Bill: Vol. 1",2003,8.1,169
"Shutter Island",2010,8.1,170
"Cool Hand Luke",1967,8.1,171
"Rebecca",1940,8.1,172
"Tokyo Story",1953,8.1,173
"Sunrise",1927,8.1,174
"Hacksaw Ridge",2016,8.1,175
"Mary and Max",2009,8.1,176
"How to Train Your Dragon",2010,8.1,177
"Gone Girl",2014,8.1,178
"Wild Tales",2014,8.1,179
"Jurassic Park",1993,8.1,180
"Into the Wild",2007,8.1,181
"Life of Brian",1979,8.1,182
"The Bandit",1996,8.1,183
"It Happened One Night",1934,8.1,184
"In the Name of the Father",1993,8.1,185
"Platoon",1986,8.1,186
"Stand by Me",1986,8.1,187
"The Grand Budapest Hotel",2014,8.1,188
"Network",1976,8.1,189
"The Truman Show",1998,8.1,190
"Stalker",1979,8.1,191
"Andrei Rublev",1966,8.1,192
"Hotel Rwanda",2004,8.1,193
"Ben-Hur",1959,8.1,194
"Persona",1966,8.1,195
"Memories of Murder",2003,8.1,196
"Rang De Basanti",2006,8.1,197
"The Wages of Fear",1953,8.1,198
"12 Years a Slave",2013,8.1,199
"The Passion of Joan of Arc",1928,8.1,200
"Million Dollar Baby",2004,8.1,201
"Rush",2013,8.1,202
"Mad Max: Fury Road",2015,8.1,203
"Before Sunrise",1995,8.1,204
"The 400 Blows",1959,8.1,205
"Spotlight",2015,8.1,206
"Logan",2017,8.1,207
"Amores Perros",2000,8.1,208
"Hachi: A Dog's Tale",2009,8.1,209
"Prisoners",2013,8.1,210
"The Princess Bride",1987,8.1,211
"Nausicaä of the Valley of the Wind",1984,8.0,212
"Butch Cassidy and the Sundance Kid",1969,8.0,213
"Catch Me If You Can",2002,8.0,214
"Harry Potter and the Deathly Hallows: Part 2",2011,8.0,215
"Rocky",1976,8.0,216
"Barry Lyndon",1975,8.0,217
"Monsters, Inc.",2001,8.0,218
"The Maltese Falcon",1941,8.0,219
"The Grapes of Wrath",1940,8.0,220
"Diabolique",1955,8.0,221
"Donnie Darko",2001,8.0,222
"Blade Runner 2049",2017,8.0,223
"The Terminator",1984,8.0,224
"Gandhi",1982,8.0,225
"Dead Poets Society",1989,8.0,226
"La La Land",2016,8.0,227
"The Nights of Cabiria",1957,8.0,228
"La Haine",1995,8.0,229
"Groundhog Day",1993,8.0,230
"The Wizard of Oz",1939,8.0,231
"Paper Moon",1973,8.0,232
"Jaws",1975,8.0,233
"The Help",2011,8.0,234
"Gangs of Wasseypur",2012,8.0,235
"In the Mood for Love",2000,8.0,236
"A Wednesday",2008,8.0,237
"Before Sunset",2004,8.0,238
"The Bourne Ultimatum",2007,8.0,239
"Paris, Texas",1984,8.0,240
"Tangerines",2013,8.0,241
"Guardians of the Galaxy",2014,8.0,242
"The Best Years of Our Lives",1946,8.0,243
"Castle in the Sky",1986,8.0,244
"Pirates of the Caribbean: The Curse of the Black Pearl",2003,8.0,245
"The Handmaiden",2016,8.0,246
"Dog Day Afternoon",1975,8.0,247
"Beauty and the Beast",1991,8.0,248
"Fanny and Alexander",1982,8.0,249
"Song of the Sea",2014,8.0,250
